"authyr","country","int1","outcome.primary","spillover.scale","quality.rating"
"Ali et al., 2005","Bangladesh","Cholera vaccine","Cholera","500 m radius around each household","moderate"
"Ali et al., 2008","Bangladesh","Cholera vaccine","Cholera","500 m radius around each household","moderate"
"Ali et al., 2013","India","Cholera vaccine","Cholera","dwelling (household or group of households), buffer of 250m","moderate"
"Chen et al., 2014","Bangladesh","Haemophilus influenzae type b vaccine","Pneumonia","neighborhood (1 km radius)","low"
"Cooper & Fitch, 1983","St. Lucia","Pertussis vaccine","Pertussis","Community of less than 10,000 people","very low"
"Emch et al., 2006","Bangladesh","Cholera vaccine","Cholera","2000 m radius around each household","moderate"
"Emch et al., 2009","Bangladesh","Cholera vaccine","Cholera","500 m radius around each household","moderate"
"Forleo-Neto et al., 1999","Brazil","Haemophilus influenzae type b vaccine","Haemophilus influenzae type b carriage","city","low"
"Haile et al., 2013","Ethiopia","Latrines","Trachoma","subkebele (~1500 people)","very low"
"Huq et al., 2010","Bangladesh","Water filtration with sari cloth and nylon cloth","Cholera","1000 m radius around each household","moderate"
"Khatib et al., 2012","Tanzania","Cholera vaccine","Cholera","400 m radius around each household","low"
"Root et al., 2011","Bangladesh","Cholera vaccine","Cholera","bari-level social network","moderate"
"Root et al., 2014","Philippines","Pneumococcal conjugate vaccine","Pneumonia","~1km buffer around each person","moderate"
